year,est,lower,upper,cv
1976,187910.2999,144509.3658,244345.9676,0.135535523
1977,347576.4779,243426.1281,496287.7606,0.185586547
1978,241158.5789,190768.0555,304859.5324,0.120688091
1979,233989.144,168575.9384,324784.9013,0.170303735
1980,358448.4016,219594.9518,585101.1399,0.260124956
1981,307930.6887,223395.6291,424454.6299,0.16656528
1982,172511.6415,145788.8761,204132.6282,0.086275976
1983,148235.8699,121303.6275,181147.7001,0.102986848
1984,172328.876,134935.4777,220084.7547,0.126048256
1985,143784.3663,118431.3563,174564.7828,0.099591854
1986,123767.4895,92795.88731,165076.1894,0.148979774
1987,185652.1425,143609.1138,240003.6955,0.132454461
1988,205050.1782,177362.4043,237060.2483,0.07426983
1989,214029.6851,176180.0214,260010.7876,0.099917913
1990,266729.4159,228651.3424,311148.7585,0.078901156
1991,210919.1155,178456.6155,249286.7701,0.085667517
1992,259043.1684,223854.0599,299763.8869,0.074754922
1993,274698.6616,224772.3969,335714.5083,0.103027655
1994,403430.6981,307678.166,528982.3789,0.139937681
1995,371257.0653,299154.9065,460737.2487,0.11102815
1996,309632.0698,242502.4761,395344.4938,0.125924652
1997,296105.1776,241052.0104,363731.7775,0.105691698
1998,184340.524,142351.5811,238714.7969,0.133353494
1999,159861.0053,129525.6746,197300.9683,0.108154054
2000,129108.7046,113351.2178,147056.7139,0.066597685
2001,205477.1265,173331.6343,243584.2116,0.087219323
2002,226323.3482,194871.1013,262851.996,0.07662517
2003,232559.1778,208151.7791,259828.532,0.056685981
2004,366839.6094,323992.2258,415353.4818,0.06353306
2005,327299.1947,294791.852,363391.1931,0.053467385
2006,326544.0061,289978.9462,367719.758,0.060732518
2007,244113.8515,221009.1097,269634.01,0.050813632
2008,210784.1704,186113.2056,238725.4916,0.063674144
2009,190965.87,166669.3519,218804.2558,0.069644489
2010,114145.588,103656.435,125696.1543,0.049256195
2011,113547.8939,101926.1286,126494.7899,0.055197111
2012,79210.17169,64952.40176,96597.67968,0.101915888
2013,84430.16315,75865.91615,93961.19905,0.054674105
2014,84443.67305,72561.86592,98271.09362,0.077666878
2015,125106.4182,110359.6217,141823.7545,0.064157895
2016,128696.2171,111957.3865,147937.6825,0.071320254
2017,133177.7525,114013.3471,155563.4864,0.079589309
2018,132312.2581,104858.3845,166954.0661,0.119722355
2019,226987,,,